"white = object name
yellow = flags
2MASS J05383976-0232203,SO657,,,UPP,BD,84.66563,-2.53893,σ Ori,II,3,,,,,,,,31.16,0.37,,,0.187,,McMahon2020,19.72,0.05,14.89,0.04,14.28,0.03,13.94,0.06,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,,,"2,900.00",150,0.0600,,0.02,,0.56,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.49,,1.23E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
[BZR99] S Ori 36,SO1059,,,UPP,BD,84.86194,-2.61567,σ Ori,II,3,,,,,,,,29.26,0.48,,,0.2108,,McMahon2020,,,15.46,0.04,14.84,0.05,14.49,0.07,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,,,"2,900.00",150,0.0600,,0.01,,0.4,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.33,,1.38E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
Mayrit 803197,SO537,,,UPP,BD,84.62065,-2.81309,σ Ori,II,3,,,,,,,,30.2,0.35,,,0.1967,,McMahon2020,,,14.82,0.04,14.28,0.04,13.88,0.06,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M6,,"3,000.00",150,0.0700,,0.02,,0.52,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.32,,1.48E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,SIMBAD has spectral type (M6) but no citation
2MASS J05384448-0240376,SO700,,,UPP,S,84.6853,-2.67708,σ Ori,EV,3,,2,314.8515475,1.179,0.68,-0.39,0.679,34.27,0.52,,,0.2113,,McMahon2020,19.41,0.04,14.8,0.03,14.21,0.04,13.94,0.05,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,,,"3,000.00",150,0.0800,,0.01,,0.37,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.46,,7.76E-12,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
[BZR99] S Ori 30,SO936,,,UPP,S,84.80457,-2.63085,σ Ori,II,3,,2,338.7189649,2.292,0.855,-0.537,0.735,,,,,0.2212,,McMahon2020,19.34,0.14,15.24,0.04,14.75,0.04,14.31,0.07,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M6,,"2,900.00",150,0.0800,,0.01,,0.4,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.58,,6.46E-12,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,SIMBAD has spectral type (M6) but no citation
V* V2737 Ori,SO750,,,,S,84.70535,-2.39936,σ Ori,II,3,,2,411.7429077,1.206,0.322,-0.238,0.282,32.59,0.82,,,0.166,,McMahon2020,17.67,,14.362,0.027,13.699,0.026,13.2,0.03,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M3.8,,"3,000.00",150,0.0900,,0.03,,0.64,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.51,,9.33E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Bozhinova 2016)
Mayrit 1045094,SO1268,,,UPP,S,84.97643,-2.6219,σ Ori,II*,3,,2,434.7637059,2.542,0.738,-1.48,0.677,31.13,0.48,,,0.1969,,McMahon2020,19.05,0.01,14.75,0.03,14.21,0.04,13.8,0.05,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M4.5,,"2,900.00",150,0.0900,,0.02,,0.56,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.49,,8.71E-12,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
2MASS J05384818-0244007,SO739,,,UPP,S,84.70071,-2.73354,σ Ori,II,3,,2,427.4783055,1.067,0.348,-1.199,0.287,31.34,0.41,,,0.2123,,McMahon2020,18.11,0.01,14.07,0.03,13.468,0.024,13.15,0.04,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,,,"3,000.00",150,0.1000,,0.04,,0.74,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.03,,2.88E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
V* V2728 Ori,SO500,,,,S,84.60588,-2.71143,σ Ori,II,3,,2,338.9026333,1.967,0.829,-1.2,0.85,,,,,0.1934,,McMahon2020,19.08,0.1,14.88,0.03,14.16,0.04,13.57,0.03,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M7,,"3,000.00",150,0.1000,,0.02,,0.52,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.27,,1.20E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
[BZR99] S Ori 10,SO1193,,,,S,84.93547,-2.41204,σ Ori,II,3,,2,413.3085348,1.983,0.273,-0.385,0.261,,,,,0.179,,McMahon2020,,,14.167,0.029,13.539,0.024,13.15,0.03,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,,,"3,100.00",150,0.1100,,0.03,,6.02E-01,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.32,,9.77E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
[BZR99] S Ori 15,SO738,,,UPP,S,84.70032,-2.4815,σ Ori,II,3,,2,363.9407504,1.281,0.309,-0.715,0.275,,,,,0.1791,,McMahon2020,18.32,0.01,14.47,0.03,13.84,0.026,13.44,0.04,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M5.5,,"3,100.00",150,0.1100,,0.03,,0.6,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.04,,2.00E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Barrado Y Navascues 2003)
2MASS J05385060-0242429,SO762,,,UPP,S,84.71085,-2.71188,σ Ori,II,3,,2,398.8513082,1.131,0.247,-0.699,0.207,31.2,0.32,,,0.2135,,McMahon2020,17.8,0.01,13.84,0.03,13.246,0.026,12.96,0.04,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,,,"3,100.00",150,0.1300,,0.05,,0.78,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.82,,3.63E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
[BNM2013] 93.03 227,SO514,,,UPP,S,84.61174,-2.64612,σ Ori,II,3,,2,352.7336861,1.107,0.251,-1.299,0.219,30.82,0.32,,,0.1865,,McMahon2020,18.09,0.01,14.11,0.04,13.483,0.029,13.21,0.04,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M3.5,,"3,100.00",150,0.1300,,0.04,,0.695,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.88,,2.75E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
2MASS J05392174-0244038,SO1009,,,,S,84.84067,-2.73437,σ Ori,EV,3,,2,1990.842126,0.859,0.052,-2.706,0.045,63.95,0.165,,,0.2431,,McMahon2020,13.22,0.02,11.097,0.028,10.405,0.024,10.218,0.024,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,G2.0,,"3,200.00",150,0.1500,,0.02,,0.46,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.97,,1.29E-09,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
2MASS J05380097-0226079,SO1362,,,,S,84.50405,-2.43553,σ Ori,II,3,,2,349.1985892,1.749,0.105,-1.328,0.088,22.13,0.252,,,0.1311,,McMahon2020,15.57,0.01,12.824,0.028,12.147,0.026,11.931,0.027,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M2.5,,"3,100.00",150,0.1500,,0.09,,1.04,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.07,,2.45E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
2MASS J05392677-0242583,SO1057,,,UPP,S,84.86163,-2.71621,σ Ori,EV,3,,2,419.0236748,1.869,0.16,-0.781,0.132,30.8609,0.280558,,,0.2351,,McMahon2020,17.25,0.06,13.178,0.027,12.399,0.026,12.118,0.024,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,,,"3,100.00",150,0.1500,,0.08,,0.98,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.67,,5.62E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
V* V2726 Ori,SO490,,,,S,84.59823,-2.34652,σ Ori,II,3,,,,,,,,29.48,0.31,,,0.1377,,McMahon2020,17.14,0.03,13.412,0.026,12.799,0.029,12.49,0.03,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M5.5,,"3,100.00",150,0.1500,,0.07,,0.92,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.73,,4.79E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
2MASS J05395421-0227326,SO1266,,,,S,84.97591,-2.45913,σ Ori,II,3,,2,381.7668168,1.87,0.196,-0.49,0.182,,,,,0.1823,,McMahon2020,16.86,0.01,13.46,0.03,12.874,0.029,12.67,0.04,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M4.5,,"3,100.00",150,0.1600,,0.07,,0.92,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.47,,8.13E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
2MASS J05392935-0227209,SO1075,,,LOW,S,84.87243,-2.45586,σ Ori,II,3,,2,387.2366791,1.651,0.103,-0.251,0.099,32.23,1.053,,,0.1806,,McMahon2020,,,12.843,0.03,12.022,0.026,11.462,0.026,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M0.0,,"3,100.00",150,0.1700,,0.13,,1.25,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.66,,6.61E-09,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
2MASS J05384755-0227120,SO728,,,UPP,S,84.69813,-2.45337,σ Ori,EV,3,,2,380.6768434,1.339,0.16,-0.585,0.143,30.98,0.812,,,0.1735,,McMahon2020,16,0.01,12.14,0.03,11.502,0.037,11.27,0.03,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M5,,"3,100.00",150,0.2000,,0.25,,1.74,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.08,,2.95E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
[W96] rJ053820-0234,SO462,,,,S,84.58536,-2.5691,σ Ori,II,3,,2,342.6887358,1.204,0.276,-0.488,0.226,30.19,0.333,,,0.1623,,McMahon2020,17.68,0.01,12.652,0.026,11.918,0.023,11.648,0.019,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M4e,,"3,200.00",150,0.2000,,0.15,,1.26,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.08,,2.14E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Zapatero Osorio 2002)
2MASS J05384053-0233275,SO663,,,UPP,S,84.66877,-2.55761,σ Ori,II,3,,2,372.1068691,0.744,0.165,0,0.148,31.9293,0.272634,,,0.1889,,McMahon2020,16.28,0.01,12.795,0.027,12.125,0.024,11.858,0.025,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,,,"3,200.00",150,0.2000,,0.14,,1.22,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,,1.51E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
2MASS J05394318-0232433,SO1182,,,,S,84.92999,-2.54543,σ Ori,II,3,,2,362.8183731,1.823,0.14,-0.344,0.13,32.464,0.215912,,,0.1829,,McMahon2020,16.45,0.03,13.032,0.026,12.299,0.024,11.913,0.021,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M4.5,,"3,200.00",150,0.2000,,0.1,,1.03,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.12,,1.62E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
2MASS J05390878-0231115,SO908,,,,S,84.78665,-2.51992,σ Ori,EV,3,,2,335.3341605,1.095,0.169,-0.093,0.148,31.19,0.235,,,0.192,,McMahon2020,16.82,0.01,13.036,0.027,12.156,0.024,11.702,0.023,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M3.0,,"3,200.00",150,0.2000,,0.1,,1.03,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.68,,4.27E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
2MASS J05400101-0219597,SO1323,,,UPP,S,85.00426,-2.33333,σ Ori,EV,3,,2,403.3721915,2.201,0.171,-0.4,0.173,30.8,0.9,,,0.1981,,McMahon2020,17.08,0.03,13.096,0.028,12.501,0.023,12.249,0.025,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,,,"3,200.00",150,0.2000,,0.07,,0.86,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.51,,5.62E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
[BNM2013] 93.03 29,SO598,,,,S,84.6441,-2.68572,σ Ori,II,3,,2,401.6548178,1.135,0.172,-0.699,0.138,30.88,0.59,,,0.2057,,McMahon2020,16.62,0.01,13.103,0.028,12.454,0.023,12.123,0.027,,,Rigliaco 2011,VLT/FORS1,2002/2003,4,360.0,,M2.0,,"3,200.00",150,0.2000,,0.11,,1.08,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.09,,1.78E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
2MASS J05381778-0240500,SO435,,,UPP,S,84.57401,-2.68056,σ Ori,II,3,,,,,,,,,,,,0.1707,,McMahon2020,16.76,0.01,13.204,0.027,12.583,0.024,12.241,0.021,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M5.0,,"3,200.00",150,0.2000,,0.09,,0.98,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.38,,8.51E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
2MASS J05394944-0223459,SO1230,,,,S,84.95609,-2.39614,σ Ori,II,3,,2,436.3953742,2.387,0.159,-0.021,0.152,,,,,0.1821,,McMahon2020,16.86,0.04,13.4,0.03,12.76,0.03,12.44,0.03,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M4,,"3,200.00",150,0.2000,,0.08,,0.92,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.32,,8.71E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Zapatero Osorio 2002)
2MASS J05392633-0228376,SO1050,,,UPP,S,84.85986,-2.47716,σ Ori,II,3,,2,370.3566535,1.524,0.184,-0.843,0.177,,,,,0.1832,,McMahon2020,16.96,0.04,13.496,0.026,12.842,0.023,12.565,0.024,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,,,"3,200.00",150,0.2000,,0.08,,0.92,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.49,,6.03E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
2MASS J05382307-0236493,SO482,,,,S,84.59605,-2.61371,σ Ori,II,3,,,,,,,,,,,,0.1732,,McMahon2020,17.01,0.01,13.796,0.028,13.167,0.026,12.776,0.019,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M4.5,,"3,200.00",150,0.2000,,0.05,,0.73,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.08,,1.23E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
2MASS J05390387-0220081,SO866,,,,S,84.76612,-2.33562,σ Ori,II,3,,2,347.258395,1.863,0.194,0.007,0.184,,,,,0.1663,,McMahon2020,17.38,0.02,13.83,0.03,13.155,0.026,12.88,0.03,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M4.5,,"3,200.00",150,0.2000,,0.05,,0.73,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.28,,7.59E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
2MASS J05390193-0235029,SO848,,,,S,84.75808,-2.58412,σ Ori,II,3,,2,335.8635051,1.918,0.33,-0.348,0.289,,,,,0.2023,,McMahon2020,18.46,0.06,14.45,0.04,13.38,0.03,12.61,0.03,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M4,,"3,300.00",150,0.2000,,0.03,,0.53,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.85,,1.38E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
[KJN2005] 33,SO917,,,UPP,S,84.79183,-2.46993,σ Ori,EV,3,,2,239.3203303,28.943,0.282,10.012,0.267,,,,,0.1834,,McMahon2020,17.71,0.01,14.6,0.03,14,0.04,13.78,0.05,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M5,,"3,300.00",150,0.2000,,0.03,,0.53,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.73,,1.95E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,SIMBAD has spectral type (M5) but no citation
[BNM2013] 90.02 146,SO967,,,UPP,S,84.81602,-2.61414,σ Ori,II,3,,2,381.300999,1.805,0.159,-0.405,0.139,31.27,0.6,,,0.2165,,McMahon2020,16.41,0.01,13.251,0.027,12.537,0.027,12.22,0.03,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M4.0,,"3,300.00",150,0.2500,,0.08,,8.68E-01,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.39,,5.62E-11,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,spectral type (Hernandez 2014)
V* V2725 Ori,SO485,,,,S,84.59714,-2.42627,σ Ori,II,3,,2,377.700559,1.693,0.209,-1.48,0.199,,,,,0.151,,McMahon2020,17.22,0.06,13.685,0.027,12.928,0.029,12.424,0.024,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M2.0,,"3,300.00",150,0.2500,,0.04,,0.61,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.39,,4.27E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
[W96] rJ053833-0236,SO587,,,UPP,S,84.6417,-2.6103,σ Ori,II,3,,2,384.6597684,-0.327,0.37,1.114,0.331,33.89,0.665,,,0.1917,,McMahon2020,15.24,0.02,11.98,0.027,11.33,0.024,11.077,0.027,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M3.5,,"3,300.00",150,0.3000,,0.27,,1.7,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.78,,3.55E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Zapatero Osorio 2002)
Haro 5-36,SO1327,,,,S,85.00816,-2.35904,σ Ori,II,3,,2,372.6615488,2.419,0.126,0.016,0.125,31.08,0.127,,,0.1978,,McMahon2020,15.46,0.02,12.339,0.027,11.579,0.023,11.254,0.024,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M4.5,,"3,300.00",150,0.3000,,0.2,,1.37,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.66,,4.07E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
2MASS J05381319-0226088,SO397,,,,S,84.5549,-2.43573,σ Ori,II,3,,,,,,,,31.789,0.125601,,,0.141,,McMahon2020,15.67,0.02,12.479,0.028,11.816,0.027,11.551,0.024,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M4.5,,"3,300.00",150,0.3000,,0.18,,1.3,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.73,,3.31E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
[BNM2013] 92.01 11,SO759,,,UPP,S,84.70995,-2.44663,σ Ori,EV,3,,2,335.2891869,-2.811,0.738,4.958,0.643,30.518,0.371556,,,0.1736,,McMahon2020,15.56,0.01,12.502,0.024,11.836,0.023,11.542,0.019,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M3.5,,"3,300.00",150,0.3000,,0.19,,1.34E+00,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.97,,2.14E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,spectral type (Hernandez 2014)
Kiso A-0976 329,SO520,,,UPP,S,84.61455,-2.58446,σ Ori,II,3,,2,403.4372857,1.266,0.119,-0.319,0.102,29.59,0.297,,,0.1772,,McMahon2020,15.92,0.01,12.826,0.028,12.113,0.024,11.86,0.028,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M3.5,,"3,300.00",150,0.3000,,0.15,,1.19,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.02,,1.51E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Zapatero Osorio 2002)
[BNM2013] 92.01 24,SO674,,,UPP,S,84.67322,-2.50798,σ Ori,II,3,,2,388.3344336,1.183,0.128,-0.691,0.116,31.11,0.238,,,0.1815,,McMahon2020,15.87,0.01,12.844,0.027,12.14,0.023,11.933,0.024,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,,,"3,300.00",150,0.3000,,0.14,,1.15E+00,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.06,,1.32E-10,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,
2MASS J05383902-0245321,SO646,,,,S,84.66254,-2.75888,σ Ori,II,3,,2,428.3389017,1.155,0.149,-0.454,0.123,30.3505,0.212918,,,0.2125,,McMahon2020,15.92,0.05,12.913,0.028,12.195,0.023,11.89,0.028,,,Rigliaco 2011,VLT/FORS1,2008/2009,4,360.0,,M2.5,,"3,300.00",150,0.3000,,0.12,,1.06,,U-band photometry,U-band excess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.05,,1.29E-09,,"Gullbring 1998, Calvet 1998, Herczeg 2008",Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
